valeur_fonciere,surface_reelle_bati,type_local,nom_commune,code_departement,latitude,longitude,prix_m2,annee
81820.0,53.0,Appartement,Wattignies,59,50.591828,3.043952,1543.7735849056603,2023
178000.0,70.0,Maison,Manosque,04,43.833955,5.784441,2542.8571428571427,2023
250000.0,80.0,Appartement,Toulouse,31,43.603983,1.412472,3125.0,2023
99000.0,55.0,Appartement,Gap,05,44.569881,6.093082,1800.0,2023
152000.0,64.0,Maison,Montélimar,26,44.565131,4.755293,2375.0,2023
405000.0,118.0,Maison,Couëron,44,47.222931,-1.729147,3432.2033898305085,2023
100000.0,32.0,Appartement,Le Controis-En-Sologne,41,47.418736,1.430573,3125.0,2023
234773.0,58.0,Appartement,Cannes,06,43.562831,7.016392,4047.810344827586,2023
103000.0,78.0,Maison,Bessan,34,43.36047,3.426736,1320.5128205128206,2023
217500.0,148.0,Maison,Yzeure,03,46.569651,3.386728,1469.5945945945946,2023
171360.0,64.0,Maison,Brouchaud,24,45.207542,0.966956,2677.5,2023
367000.0,99.0,Maison,Saint-Prix,71,46.962179,4.082482,3707.070707070707,2023
250000.0,96.0,Maison,Louverné,53,48.110454,-0.71439,2604.1666666666665,2023
73160.0,63.0,Maison,La Redorte,11,43.252786,2.653022,1161.2698412698412,2023
479987.0,170.0,Maison,Lille,59,50.635454,3.098537,2823.4529411764706,2023
129000.0,70.0,Maison,Lanrelas,22,48.25132,-2.294593,1842.857142857143,2023
191400.0,31.0,Appartement,Les Belleville,73,45.320078,6.537685,6174.193548387097,2023
162500.0,62.0,Appartement,Albertville,73,45.666904,6.413103,2620.967741935484,2023
109900.0,77.0,Maison,Fleurance,32,43.837666,0.6638,1427.2727272727273,2023
165000.0,66.0,Appartement,Morsang-Sur-Orge,91,48.667898,2.352061,2500.0,2023
100000.0,59.0,Maison,Haudivillers,60,49.485219,2.242865,1694.915254237288,2023
50000.0,56.0,Maison,Clastres,02,49.745333,3.22916,892.8571428571429,2023
125000.0,73.0,Maison,Mauléon,79,46.951671,-0.793512,1712.3287671232877,2023
143000.0,45.0,Appartement,Évian-Les-Bains,74,46.397353,6.583488,3177.777777777778,2023
450000.0,90.0,Appartement,Saint-Raphaël,83,43.421098,6.770348,5000.0,2023
135970.0,70.0,Maison,Renage,38,45.33272,5.485069,1942.4285714285713,2023
325000.0,169.0,Maison,Saint-Antonin-Noble-Val,82,44.168162,1.799255,1923.076923076923,2023
49900.0,26.0,Appartement,Saint-Valery-En-Caux,76,49.868919,0.715259,1919.2307692307693,2023
149000.0,71.0,Appartement,La Seyne-Sur-Mer,83,43.101663,5.872537,2098.5915492957747,2023
57400.0,56.0,Maison,Flers,61,48.750019,-0.544008,1025.0,2023
84994.0,42.0,Appartement,Borgo,2B,42.566637,9.441153,2023.6666666666667,2023
400000.0,42.0,Appartement,Cherbourg-En-Cotentin,50,49.646393,-1.642964,9523.809523809523,2023
205000.0,30.0,Maison,Marseille 15E Arrondissement,13,43.363991,5.375665,6833.333333333333,2023
237000.0,98.0,Appartement,Schœlcher,972,14.6213,-61.082177,2418.3673469387754,2023
64000.0,19.0,Maison,Tollent,62,50.274019,2.01571,3368.4210526315787,2023
240000.0,150.0,Maison,Sospel,06,43.880157,7.454328,1600.0,2023
347500.0,50.0,Maison,Sainte-Anne,971,16.243261,-61.33034,6950.0,2023
